id_lugar,0,1,2,3,4,5,6,7,8,9
0,0900200010010001,0900200010010002,0900200010010003,0900200010010004,0900200010010005,0900200010010006,0900200010010007,0900200010010008,0900200010010009,0900200010010011
1,9,9,9,9,9,9,9,9,9,9
2,Ciudad de México,Ciudad de México,Ciudad de México,Ciudad de México,Ciudad de México,Ciudad de México,Ciudad de México,Ciudad de México,Ciudad de México,Ciudad de México
3,2,2,2,2,2,2,2,2,2,2
4,Azcapotzalco,Azcapotzalco,Azcapotzalco,Azcapotzalco,Azcapotzalco,Azcapotzalco,Azcapotzalco,Azcapotzalco,Azcapotzalco,Azcapotzalco
5,1,1,1,1,1,1,1,1,1,1
6,Azcapotzalco,Azcapotzalco,Azcapotzalco,Azcapotzalco,Azcapotzalco,Azcapotzalco,Azcapotzalco,Azcapotzalco,Azcapotzalco,Azcapotzalco
